text,label,category,language,source
They said I would not be safe if I gave my statement.,1,physical_threat,english,synthetic
Is incident ke baad main bahut sad hoon.,0,sadness,hinglish,synthetic
I was warned that continuing the matter could put me at risk.,1,physical_threat,english,synthetic
I cannot see a clear way forward.,0,hopelessness,english,synthetic
I am struggling to see a solution.,0,hopelessness,english,synthetic
Someone suggested that I reconsider my involvement.,0,ambiguous_non_threat,english,synthetic_v6
They told me to withdraw the complaint unless I wanted trouble.,1,indirect_threat,english,synthetic_v6
Complaint ki toh meri family ko problem hogi.,1,family_threat,hinglish,synthetic
Case ko lekar bahut anxiety ho rahi hai.,0,fear,hinglish,synthetic
Case band karo warna bahut bura hoga.,1,targeted_threat,hinglish,synthetic_v6
They warned me not to discuss the matter publicly.,1,forced_silence,english,synthetic
Case yahin khatam kar do.,1,case_withdrawal,hinglish,synthetic
It feels like I have no idea what to do next.,0,hopelessness,english,synthetic
Mujhe koi threatening message nahi mila.,0,hinglish_negation,hinglish,synthetic_v6
They pressured me to change what I had said.,1,case_withdrawal,english,synthetic
Case continue kiya toh family ko problem hogi.,1,hinglish_threat,hinglish,synthetic_v6
Gawahi di toh tumhare liye accha nahi hoga.,1,hinglish_threat,hinglish,synthetic_v6
He told me that speaking up could cost me my job.,1,financial_coercion,english,synthetic
Someone suggested that I forget about the complaint.,0,non_threat_advice,english,synthetic_v6
Case ko lekar chup rehna.,1,forced_silence,hinglish,synthetic
He said I could lose my position if I testified.,1,financial_coercion,english,synthetic
I am having trouble concentrating because of the case.,0,general_distress,english,synthetic
They told me to withdraw the complaint before my family faced problems.,1,family_threat,english,synthetic
They told me my job would not be safe if I continued.,1,financial_coercion,english,synthetic
Thinking about the case makes me anxious.,0,fear,english,synthetic
They pressured me into keeping silent.,1,forced_silence,english,synthetic
I am afraid of what will happen in court.,0,fear,english,synthetic
They said things would become difficult if I continued.,1,indirect_threat,english,synthetic_v6
Chup raho warna family ko problem hogi.,1,targeted_threat,hinglish,synthetic_v6
The case procedure is difficult for me to understand.,0,legal_stress,english,synthetic
Statement dene ko lekar nervous hoon.,0,legal_stress,hinglish,synthetic
He told me to change my statement.,1,case_withdrawal,english,synthetic
I feel nervous about speaking during the hearing.,0,fear,english,synthetic
Apni job risk mein mat daalo aur complaint wapas le lo.,1,financial_coercion,hinglish,synthetic
Puri situation ki wajah se bahut stress hai.,0,general_distress,hinglish,synthetic
They told me not to tell anyone what happened.,1,forced_silence,english,synthetic
They warned me that there would be consequences if I testified.,1,indirect_threat,english,synthetic_v6
Witness ke taur par case mein involve mat hona.,1,witness_intimidation,hinglish,synthetic
Mujhe safety ko lekar concern hai.,0,hinglish_fear,hinglish,synthetic_v6
They told me to withdraw the complaint.,1,case_withdrawal,english,synthetic
They said something bad would happen if I kept pursuing the case.,1,physical_threat,english,synthetic
I am worried about how everything will turn out.,0,fear,english,synthetic
